Time,Tc,T
5.400000000000000355e+00,3.030000000000000000e+02,3.331589847241484108e+02
5.500000000000000000e+00,3.030000000000000000e+02,3.331755771477465942e+02
5.600000000000000533e+00,3.030000000000000000e+02,3.331889795065034150e+02
5.700000000000000178e+00,3.030000000000000000e+02,3.331993686475308323e+02
5.800000000000000711e+00,3.030000000000000000e+02,3.332069185430812581e+02
5.900000000000000355e+00,3.030000000000000000e+02,3.332118002196429529e+02
6.000000000000000000e+00,3.030000000000000000e+02,3.332141816600189941e+02
6.100000000000000533e+00,3.030000000000000000e+02,3.332142276821775795e+02
6.200000000000000178e+00,3.030000000000000000e+02,3.332120997986855855e+02
6.300000000000000711e+00,3.030000000000000000e+02,3.332079560605743609e+02
6.400000000000000355e+00,3.030000000000000000e+02,3.332019508894272803e+02
6.500000000000000000e+00,3.030000000000000000e+02,3.331942349014586853e+02
6.600000000000000533e+00,3.030000000000000000e+02,3.331849547272565815e+02
6.700000000000000178e+00,3.030000000000000000e+02,3.331742528307346447e+02
6.800000000000000711e+00,3.030000000000000000e+02,3.331622673306861770e+02
6.900000000000000355e+00,3.030000000000000000e+02,3.331491318281318286e+02
7.000000000000000000e+00,3.030000000000000000e+02,3.331349752424202393e+02
7.100000000000000533e+00,3.030000000000000000e+02,3.331199216587842784e+02
7.200000000000000178e+00,3.030000000000000000e+02,3.331040901897629851e+02
7.300000000000000711e+00,3.030000000000000000e+02,3.330875948525951458e+02
7.400000000000000355e+00,3.030000000000000000e+02,3.330705444643630813e+02
7.500000000000000000e+00,3.030000000000000000e+02,3.330530425563321160e+02
7.600000000000000533e+00,3.030000000000000000e+02,3.330351873085999728e+02
7.700000000000000178e+00,3.030000000000000000e+02,3.330170715058271185e+02
7.800000000000000711e+00,3.030000000000000000e+02,3.329987825145032048e+02
7.900000000000000355e+00,3.030000000000000000e+02,3.329804022818818225e+02
8.000000000000000000e+00,3.030000000000000000e+02,3.329620073564318545e+02
8.099999999999999645e+00,3.030000000000000000e+02,3.329436689293679592e+02
8.200000000000001066e+00,3.030000000000000000e+02,3.329254528965963118e+02
8.300000000000000711e+00,3.030000000000000000e+02,3.329074199401554210e+02
8.400000000000000355e+00,3.030000000000000000e+02,3.328896256280901298e+02
8.500000000000000000e+00,3.030000000000000000e+02,3.328721205314793110e+02
8.599999999999999645e+00,3.030000000000000000e+02,3.328549503572733101e+02
8.700000000000001066e+00,3.030000000000000000e+02,3.328381560954423435e+02
8.800000000000000711e+00,3.030000000000000000e+02,3.328217748233034285e+02
8.900000000000000355e+00,3.030000000000000000e+02,3.328058378931354468e+02
9.000000000000000000e+00,3.030000000000000000e+02,3.327903731229098412e+02
9.099999999999999645e+00,3.030000000000000000e+02,3.327754043111274882e+02
